slug	comment
FB209_2cholula_chipotle_hot_sauce	Slightly underpaid, but somewhat fun.
FB209_2_advil_liqui_gels	phil_review_good
FB209_2_bumblebee_albacore_1	phil_review_good
FB209_2_bumblebee_albacore_2	phil_review_good
FB209_2_chair1	phil_review_good
FB209_2_cholula_chipotle_hot_sauce_1	phil_review_good
FB209_2_cholula_chipotle_hot_sauce_2	phil_review_good
FB209_2_crystal_hot_sauce_1	phil_review_good
FB209_2_crystal_hot_sauce_2	phil_review_good
FB209_2_crystal_hot_sauce_3	phil_review_good
FB209_2_hersheys_bar_1	phil_review_good
FB209_2_hersheys_bar_2	phil_review_good
FB209_2_hersheys_bar_322	NULL
FB209_2_honey_bunches_of_oats_honey_roasted_1	phil_review_good
FB209_2_honey_bunches_of_oats_honey_roasted_2	phil_review_good
FB209_2_honey_bunches_of_oats_with_almonds_1	phil_review_good
FB209_2_honey_bunches_of_oats_with_almonds_2	phil_review_good
FB209_2_mahatma_rice_1	phil_review_good
FB209_2_mahatma_rice_2	phil_review_good
FB209_2_nature_valley_granola_thins_dark_chocolate_1	phil_review_good
FB209_2_nature_valley_granola_thins_dark_chocolate_222	phil_review_good
FB209_2_nature_valley_granola_thins_dark_chocolate_3	phil_review_good
FB209_2_nature_valley_sweet_and_salty_nut_almond	phil_review_good
FB209_2_nature_valley_sweet_and_salty_nut_cashew_2	phil_review_good
FB209_2_nutrigrain_harvest_blueberry_bliss_1	phil_review_good
FB209_2_nutrigrain_harvest_blueberry_bliss_2	phil_review_good
FB209_2_nutrigrain_harvest_blueberry_bliss_3	phil_review_good
FB209_2_pepto_bismol_1	phil_review_good
FB209_2_pepto_bismol_2	phil_review_good
FB209_2_pringles_bbq_1	phil_review_good
FB209_2_pringles_bbq_2	phil_review_good
FB209_2_pringles_bbq_3	phil_review_good
FB209_2_progresso_new_england_clam_chowder_1	phil_review_good
FB209_2_progresso_new_england_clam_chowder_2	phil_review_good
FB209_2_progresso_new_england_clam_chowder_3	phil_review_good
FB209_2_quaker_chewy_low_fat_chocolate_chunk_1	phil_review_good
FB209_2_quaker_chewy_low_fat_chocolate_chunk_2	phil_review_good
FB209_2_red_bull_1	phil_review_good
FB209_2_red_bull_2	phil_review_good
FB209_2_refrigerator1_1	phil_review_good
FB209_2_refrigerator1_3	phil_review_good
FB209_2_softsoap_clear_1	phil_review_good
FB209_2_softsoap_clear_2	phil_review_good
FB209_2_softsoap_white_1	phil_review_good
FB209_2_softsoap_white_2	phil_review_good
FB209_2_spongebob_squarepants_fruit_snaks_1	phil_reviewed_good
FB209_2_spongebob_squarepants_fruit_snaks_2	phil_review_good
FB209_2_table1	phil_review_good
FB209_aunt_jemima_original_syrup	NULL
FB209_cholula_chipotle_hot_sauce	phil_review_good
FB209_crystal_hot_sauce	NULL
FB209_honey_bunches_of_oats_honey_roasted	NULL
FB209_honey_bunches_of_oats_with_almonds	NULL
fb209_mahatma_rice	NULL
FB209_nature_valley_granola_thins_dark_chocolate	phil_review_good
FB209_nature_valley_sweet_and_salty_nut_almond	phil_review_good
FB209_nature_valley_sweet_and_salty_nut_cashew	phil_review_good
FB209_nutrigrain_harvest_blueberry_bliss	phil_review_good
FB209_pepto_bismol	Please give examples for occluded images. Please give shortcut keys easily.for example to go backward give b and forward give f..
FB209_pringles_bbq	NULL
FB209_progresso_new_england_clam_chowder	phil_review_good
FB209_red_bull	NULL
FB209_softsoap_clear	NULL
FB209_softsoap_white	phil_review_good
FB209_spongebob_squarepants_fruit_snaks	NULL
gold_standard_rohit	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	The third one confused me.  I don't see the whole bottle, but the instructions say that i take off for 'obstruction and occlusion', which doesn't cover this situation exactly.  
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
gold_standard_rohit_4	NULL
Room15_aunt_jemima_original_syrup_1	phil_review_good
Room15_aunt_jemima_original_syrup_2	phil_review_good
Room15_aunt_jemima_original_syrup_3	phil_review_good
Room15_aunt_jemima_original_syrup_4	phil_review_good
